nom_loc,cve_col,nom_col,viviendas_totales,poblacion_total,pctj_mujeres,pctj_hombres,pctj_menores18,pctj_adultos18_59,pctj_60ymas,escolaridad_años_prom,nivel_escolaridad_prom,nom_col_norm
Hermosillo,2603000011422,NUEVA ESPAÑA,310,920,50.6%,49.4%,20.9%,68.4%,10.8%,13.7,Preparatoria,NUEVA ESPAÑA
Hermosillo,2603000011423,VILLA FONTANA,113,339,53.7%,46.3%,15.6%,67.8%,16.5%,13.3,Preparatoria,VILLA FONTANA
Hermosillo,2603000011424,SAN JERONIMO,380,1083,52.5%,47.5%,23.1%,63.1%,13.9%,13.4,Preparatoria,SAN JERONIMO
Hermosillo,2603000011425,BELLA VISTA,487,1419,49.6%,50.4%,28%,58.4%,13.7%,10.1,Secundaria,BELLA VISTA
Hermosillo,2603000011426,PIMENTEL,1011,2706,49.4%,50.6%,17.9%,56.7%,25.4%,11.2,Secundaria,PIMENTEL
Hermosillo,2603000011427,CONDESA,204,426,52.3%,47.7%,12.4%,64.1%,23.5%,13.0,Preparatoria,CONDESA
Hermosillo,2603000011428,LAS TORRES,262,766,53.9%,46.1%,18.1%,60.4%,21.4%,12.7,Secundaria,LAS TORRES
Hermosillo,2603000011429,OLIVARES,3863,10008,50.8%,49.2%,16.5%,57.6%,25.9%,11.3,Secundaria,OLIVARES
Hermosillo,2603000011430,PLAZA GRANDE,35,101,47.5%,52.5%,23.8%,59.4%,16.8%,15.3,Licenciatura,PLAZA GRANDE
Hermosillo,2603000011431,EL LLANO,566,1671,51.4%,48.6%,23.4%,62.7%,13.9%,13.4,Preparatoria,EL LLANO
Hermosillo,2603000011432,LAS FLORES,32,42,39%,61%,9.5%,90.5%,0%,14.1,Preparatoria,LAS FLORES
Hermosillo,2603000011433,CAMPANARIO,103,338,50%,50%,22.2%,61.2%,16.6%,14.7,Preparatoria,CAMPANARIO
Hermosillo,2603000011434,LUIS ENCINAS,866,2228,50.4%,49.6%,15.6%,56.7%,27.7%,10.6,Secundaria,LUIS ENCINAS
Hermosillo,2603000011435,EL LLANITO,22,59,45.8%,54.2%,13.6%,62.7%,23.7%,10.7,Secundaria,EL LLANITO
Hermosillo,2603000011436,JEREZ DEL VALLE,411,1173,49.1%,50.9%,22.8%,67.3%,9.9%,12.0,Secundaria,JEREZ DEL VALLE
Hermosillo,2603000011437,PRIVADA SAHUARO,104,297,50.5%,49.5%,19.5%,73.7%,6.7%,11.6,Secundaria,PRIVADA SAHUARO
Hermosillo,2603000011438,NUEVO SAHUARO,317,953,49.8%,50.2%,24.1%,69.2%,6.7%,11.5,Secundaria,NUEVO SAHUARO
Hermosillo,2603000011439,RANCHO BONITO,405,1228,51.4%,48.6%,28.1%,63.3%,8.6%,14.0,Preparatoria,RANCHO BONITO
Hermosillo,2603000011440,STAUS,81,230,49.1%,50.9%,10%,67.4%,22.6%,16.1,Licenciatura,STAUS
Hermosillo,2603000011442,RESIDENCIAL NAVARRETE,89,243,48.6%,51.4%,16.9%,56.4%,26.7%,14.6,Preparatoria,RESIDENCIAL NAVARRETE
Hermosillo,2603000011443,VALLE DORADO,208,576,50.9%,49.1%,22%,68.9%,9%,13.5,Preparatoria,VALLE DORADO
Hermosillo,2603000011445,RESIDENCIAL SANTA FE,423,1090,51.4%,48.6%,14.8%,61.2%,24%,15.1,Licenciatura,RESIDENCIAL SANTA FE
Hermosillo,2603000011446,SAN ISIDRO,52,152,53.9%,46.1%,17.8%,73%,9.2%,14.1,Preparatoria,SAN ISIDRO
Hermosillo,2603000011447,SONACER,1250,3558,49.1%,50.9%,24.6%,64.1%,11.4%,12.7,Secundaria,SONACER
Hermosillo,2603000011448,CASERIO SAHUARO,80,198,51.5%,48.5%,26.3%,53%,20.7%,13.0,Preparatoria,CASERIO SAHUARO
Hermosillo,2603000011449,EL TORREON,136,325,51.7%,48.3%,14.5%,59.7%,25.8%,13.0,Preparatoria,EL TORREON
Hermosillo,2603000011450,LOS MIRASOLES,588,1549,50.3%,49.7%,20.3%,58.2%,21.5%,10.9,Secundaria,LOS MIRASOLES
Hermosillo,2603000011451,RAQUET CLUB,311,799,51.7%,48.3%,13.8%,46.9%,39.3%,14.3,Preparatoria,RAQUET CLUB
Hermosillo,2603000011452,CORONADO RESIDENCIAL,34,104,52.9%,47.1%,26%,66.3%,7.7%,15.4,Licenciatura,CORONADO RESIDENCIAL
Hermosillo,2603000011453,LIBERTAD,140,400,52.7%,47.3%,20.8%,58.5%,20.8%,11.6,Secundaria,LIBERTAD
Hermosillo,2603000011454,RESIDENCIAL CAPISTRANO,354,1159,47.8%,52.2%,19.2%,65.4%,15.4%,14.9,Preparatoria,RESIDENCIAL CAPISTRANO
Hermosillo,2603000011455,LAS PLAZAS,40,118,48.3%,51.7%,16.9%,74.6%,8.5%,14.5,Preparatoria,LAS PLAZAS
Hermosillo,2603000011456,VILLA ESMERALDA,28,69,53.6%,46.4%,27.5%,53.6%,18.8%,12.1,Secundaria,VILLA ESMERALDA
Hermosillo,2603000011457,ALAMEDA,63,129,56.6%,43.4%,11.6%,51.2%,37.2%,14.3,Preparatoria,ALAMEDA
Hermosillo,2603000011458,MAGISTERIAL,212,594,52.9%,47.1%,16.3%,57.1%,26.6%,13.9,Preparatoria,MAGISTERIAL
Hermosillo,2603000011459,ADOLFO LOPEZ MATEOS,270,705,50.2%,49.8%,19.9%,61.1%,19%,11.5,Secundaria,ADOLFO LOPEZ MATEOS
Hermosillo,2603000011460,VILLA SATELITE,552,1396,54.3%,45.7%,11.9%,46.1%,42%,14.7,Preparatoria,VILLA SATELITE
Hermosillo,2603000011461,SAHUARO INDECO,1072,2323,50.2%,49.8%,18.2%,57.4%,24.4%,11.8,Secundaria,SAHUARO INDECO
Hermosillo,2603000011462,EL SAHUARO,1,6,0%,100%,16.7%,83.3%,0%,1.7,Primaria no aprobada/terminada,EL SAHUARO
Hermosillo,2603000011463,VALLE VERDE,357,890,54.2%,45.8%,10.2%,51.8%,38%,14.5,Preparatoria,VALLE VERDE
Hermosillo,2603000011464,VALLE DEL SOL,125,268,51.5%,48.5%,11.9%,43.7%,44.4%,14.4,Preparatoria,VALLE DEL SOL
Hermosillo,2603000011465,REFORMA NORTE,281,681,54.8%,45.2%,16.2%,51.2%,32.6%,12.7,Secundaria,REFORMA NORTE
Hermosillo,2603000011466,LA HUERTA,258,526,53.9%,46.1%,10.3%,51%,38.8%,13.9,Preparatoria,LA HUERTA
Hermosillo,2603000011467,CHOYAL,1186,3228,50.8%,49.2%,19.5%,58.8%,21.7%,11.0,Secundaria,CHOYAL
Hermosillo,2603000011468,VALLE HERMOSO,90,217,55.2%,44.8%,10.1%,51.6%,38.2%,14.6,Preparatoria,VALLE HERMOSO
Hermosillo,2603000011470,VALLE ESCONDIDO,130,340,55.9%,44.1%,10.6%,55%,34.4%,14.9,Preparatoria,VALLE ESCONDIDO
Hermosillo,2603000011472,VALLE GRANDE,537,1262,54.4%,45.6%,8.7%,53.3%,38%,14.9,Preparatoria,VALLE GRANDE
Hermosillo,2603000011473,BALDERRAMA,3925,9742,52.9%,47.1%,15%,56.1%,28.9%,12.0,Secundaria,BALDERRAMA
Hermosillo,2603000011474,MODELO,1444,3285,53.7%,46.3%,14.6%,53.1%,32.3%,13.9,Preparatoria,MODELO
Hermosillo,2603000011475,JESUS GARCIA,2990,7507,51.5%,48.5%,16.3%,56.1%,27.6%,12.0,Secundaria,JESUS GARCIA
Hermosillo,2603000011476,LOMA LINDA,606,1518,53.3%,46.7%,14.7%,51.2%,34.1%,13.7,Preparatoria,LOMA LINDA
Hermosillo,2603000011477,PERIODISTA,398,914,53.6%,46.4%,16.1%,52.5%,31.4%,14.3,Preparatoria,PERIODISTA
Hermosillo,2603000011478,LA JOLLA,148,542,52%,48%,19%,66.6%,14.4%,13.4,Preparatoria,LA JOLLA
Hermosillo,2603000011480,VILLA VENTURA,86,120,53.5%,46.5%,21.7%,62.5%,15.8%,14.2,Preparatoria,VILLA VENTURA
Hermosillo,2603000011481,CUARTEL PITIC,146,358,55.3%,44.7%,22.6%,62.8%,14.5%,13.9,Preparatoria,CUARTEL PITIC
Hermosillo,2603000011482,ISSSTE,187,369,57.7%,42.3%,14.4%,54.2%,31.4%,13.6,Preparatoria,ISSSTE
Hermosillo,2603000011483,CONSTITUCION,311,627,51.7%,48.3%,9.9%,54.5%,35.6%,14.2,Preparatoria,CONSTITUCION
Hermosillo,2603000011484,CENTRO,2220,4758,48.2%,51.8%,18.6%,56.2%,25.1%,12.3,Secundaria,CENTRO
Hermosillo,2603000011485,CORTIJO UNISON,282,883,51.3%,48.7%,26.7%,67.6%,5.7%,11.8,Secundaria,CORTIJO UNISON
Hermosillo,2603000011486,CINCO DE MAYO,1915,5106,50.6%,49.4%,23.4%,53.3%,23.2%,11.1,Secundaria,CINCO DE MAYO
Hermosillo,2603000011487,JACINTO LOPEZ,1600,5261,49.2%,50.8%,27.9%,60.5%,11.7%,10.1,Secundaria,JACINTO LOPEZ
Hermosillo,2603000011488,CARMEN SERDAN,1064,3504,50.1%,49.9%,27.4%,58.9%,13.7%,9.7,Secundaria,CARMEN SERDAN
Hermosillo,2603000011489,CNOP,282,909,48.2%,51.8%,22.1%,63%,14.9%,10.4,Secundaria,CNOP
Hermosillo,2603000011492,VILLAS DEL CORTEZ,603,1739,51%,49%,24.4%,68.6%,7%,13.2,Preparatoria,VILLAS DEL CORTEZ
Hermosillo,2603000011494,LAS PALMAS,139,447,49.3%,50.7%,25.5%,57.9%,16.6%,10.6,Secundaria,LAS PALMAS
Hermosillo,2603000011495,VILLA GUADALUPE,378,1141,51.8%,48.2%,22.3%,71.3%,6.4%,13.0,Preparatoria,VILLA GUADALUPE
Hermosillo,2603000011496,HEBERTO CASTILLO,844,2771,49.9%,50.1%,25.8%,64%,10.2%,10.7,Secundaria,HEBERTO CASTILLO
Hermosillo,2603000011497,ALTO VALLE,65,208,51%,49%,20.7%,70.7%,8.7%,13.0,Preparatoria,ALTO VALLE
Hermosillo,2603000011498,LOS ANGELES,954,2760,49.9%,50.1%,29.5%,64.3%,6.2%,11.5,Secundaria,LOS ANGELES
Hermosillo,2603000011499,SAN LUIS,1888,6239,49.3%,50.7%,30%,57.8%,12.2%,9.4,Secundaria,SAN LUIS
