COLONIA
10 DE MAYO
1RO DE JULIO
22 DE SEPTIEMBRE
26 DE OCTUBRE
3 REYNAS
4 DE MARZO
4TA ZONA MILITAR
5 DE MAYO
"5 DE MAYO SECTOR ""A"""
A. LOPEZ MATEOS
ACACIA RESIDENCIAL
ACASSIA BLANCA
ADOLFO DE LA HUERTA
ADOLFO LOPEZ MATEOS
AEROPUERTO
AGAVES RESIDENCIAL
AGUALURCA
AKIWIKI
ALAMEDA
ALAMEDA LOS FRESNOS
ALAMOS
ALBERTO GUTIERREZ
ALBORADA
ALCALA RESIDENCIAL
ALCATRACES
ALCATRAZ\BAHIA DE KINO
ALEGRANZA RESIDENCIAL
ALFREDO NORIEGA
ALONDRAS RESIDENCIAL
ALTA CALIFORNIA RESIDENCIAL
ALTA CALIFORNIA RESIDENCIAL SECC CORONADO
ALTA FIRENZE RESIDENCIAL
ALTADENA
ALTAMIRA
ALTARES
ALTARES II
ALTARES SECCION FRANCISCANOS
ALTARIA RESIDENCIAL
ALTARIA RESIDENCIAL SECC. NAPOLES
ALTO VALLE
ALTO VALLE SECTOR A
ALTOS DE ARAGON
AMAPOLA NORTE
AMAPOLAS
AMPLIACION ALTARES
AMPLIACION COLOSIO
AMPLIACION LUIS DONALDO COLOSIO 3RA.ETAPA
AMPLIACIÓN LADRILLERAS
AMPLIACIÓN LOS OLIVOS
ANDALUCÍA
ANGEL FLORES
ANGELES CERRADA MIXCOAC
ANTARA RESIDENCIAL
ANTONIO PARADA CANO
ANTORCHA .
ANTORCHA CAMPESINA
APOLO
ARAGON RESIDENCIAL
ARANDANOS RESIDENCIAL
ARANJUEZ RESIDENCIAL
ARBOLEDAS
ARCADIA
ARCADIA SECC. NAPOLES
ARCO IRIS
ARDENEZ
ARIZONA
ARROYOS
ARTESANOS\BAHIA DE KINO
ARÁNDANOS
ASTURIAS RESIDENCIAL
ATARDECERES
AZORES RESIDENCIAL
BACHOCO
BAGALONA
BAHÍA DE KINO
BAHÍA DE KINO NUEVO
BALDERRAMA
BANUS
BANUS II
BARCELONA RESIDENCIAL
BARRIO CHULO
BARRIO DE LA CRUZ\BAHIA DE KINO
BELLA VISTA
BENEI RESIDENCIAL
BENITO JUÁREZ
BERNARDO ESQUEDA
BICENTENARIO
BICENTENARIO 1810
BICENTENARIO 1910
BILBAO RESIDENCIAL
BONANZA
BONILLA
BOSCO RESIDENCIA
BRETAÑA
BUENA VENTURA
BUENA VISTA
BUENA VISTA SECCION AMANECERES
BUENAVENTURA
BUENOS AIRES
BUGAMBILIA
BURGOS PITIC RESIDENCIAL
CADIZ RESIDENCIAL
CAFE COMBATE
CAFE COMBATE II
CAFETALES
CAJEME
CALIFORNIA RESIDENCIAL
CALIFORNIA RESIDENCIAL CDA CORDOBA
CALIFORNIA RESIDENCIAL CDA SARATOGA
CALIFORNIA RESIDENCIAL SANTA ROSA
CALIFORNIA RESIDENCIAL SECC MARQUEZ
CALIFORNIA RESIDENCIAL SECC. SANTA MONICA
CALIFORNIA RESIDENCIAL SECCION SANTA ROSA
CALIFORNIA SECC. MEDITERRANEO
CALIFORNIA SECC. SACRAMENTO
CALIFORNIA SECCION MARQUEZA
CALIFRONIA RESIDENCIAL CERRADA SANTA ROSA
CALLE 28 NORTE
CAMINO DEL SERI
CAMINO REAL
CAMINO REAL DEL NORTE
CAMINO REAL MISION
CAMPANARIO
CAMPESTRE LOS BAGOTES
CAMPESTRE RESIDENCIAL
CAMPIÑA
CAMPO GRANDE SEGUNDA CERRADA GOLD WARER
CAMPO LA FLORIDA
CAMPOGRANDE RESIDENCIAL
CANTABRIA RESIDENCIAL
CANTERAS RESIDENCIAL
CAPERUZO
CAPISTRANO
CAPISTRANO 4TA SECCION
CARDENAS RESIDENCIAL
CARDENO
CARDENO 2
CARIDAD
CARMEN SERDÁN
CARNAVALITO\BAHIA DE KINO
CARRETERA GUAYMAS - HERMOSILLO
CARRETERA INTERNACIONAL
CASA ALTA RDCIAL
CASA BLANCA
CASA BONITA
CASA BONITA 2
CASA BONITA RESIDENCIAL
CASA GRANDE
CASA GRANDE RESIDENCIAL
CASA GRANDE RESIDENCIAL I
CASA LINDA
CASA REAL
CASA SOLARI
CASTELLO RESIDENCIAL
CATABIÑA
CATALINAS RESIDENCIAL
CATAVIÑA RESIDENCIAL
CAÑADA DE LOS NEGROS
CCUCURPE
CENTENARIO
CENTENARIO ISTESSON
CENTRAL DE ABASTOS
CENTRO
CENTRO NORTE
CENTRO ORIENTE
"CENTRO SUR, MERCADO"
CENTRO\BAHIA DE KINO
CERRADA 940
CERRADA ANDALUCIA
CERRADA CUCURPE
CERRADA DE MINAS
CERRADA DEL ANGEL
CERRADA DEL CID
CERRADA DIAMANTE
CERRADA KUKAPA
CERRADA LA VEREDAS
CERRADA MILAN
CERRADA NORWALK
CERRADA PALO VERDE
CERRADA PIMAS
CERRADA ROBLES
CERRADA SANTA MONICA
CERRADA SANTA MONICA CALIFORNIA
CERRO
CERRO APACHE
CERRO COLORADO
CERRO DE LA CRUZ
CERRO LA CAMPANA
CEZANNE RESIDENCIAL
CHANATE
CHINO ABELARDO
CHOYAL
CHULA VISTA
CIMA II
CIMA RESIDENCIAL
CINCO DE MAYO
CIRENSE RESIDENCIAL
CLUB BRITANIA
CNOP
COL LADRILLERA
COLINA BLANCA
COLINA DEL VALLE
COLINAS
COLINAS DE SAN JAVIER
COLINAS DEL BACHOCO
COLINAS DEL SOL
COLINAS II
COLONIA LAS COSECHAS
COLONIA RURAL
COLONIA SAN BENITO
COLOSO ALTA
COLOSO NORTE
COLOSO ORIENTE
COMERCIAL CEDROS
COMPOSTELA RESIDENCIAL
CONDESA
CONDOMINIOS SAN PABLO
CONQUISTADORES
CONSTITUCIÓN
CORCELES SECC ALTER REAL
CORCICA
CORCITA RESIDENCIAL
CORDOBA RESIDENCIAL
CORONADO
CORSICA RESIDENCIAL
CORTIJO PERODISTA
CORTIJO SECCION PERIODISTAS
CORTIJO SECCION PIONEROS
CORUÑA
COSTA DEL SOL
COSTA DEL SOL 2DA ETAPA
COUNTRY CLUB
CRUZ GÁLVEZ
CUARTEL 15A
CUARTEL PITIC
CUARTEL XV
CUARTEL XX CAFÉ COMBATE
CUATRO OLIVOS
CUAUHTÉMOC
CUCURPE
CUCURPE II
CUEVITAS
CUMBRES RESIDENCIAL
DE LOS POETAS
DE LOS REYES
DEL BOSQUE
DEL CID RESIDENCIAL
DEL RAZO
DILIGENCIAS
DIVISION DEL NORTE
DUNAS
ECONATURA
EJ. EL TRIUNFITO
EJIDO  EL BUEY
EJIDO CARRILLO MARCOT
EJIDO EL CHANATE
EJIDO EL CHOYUDO
EJIDO EL REALITO
EJIDO EL TRIUNFO
EJIDO EL ZACATON
EJIDO LA HABANA
EJIDO LA MANGA
EJIDO LA PEAÑA
EJIDO LA VICTORIA
EJIDO LAS PLACITAS
EJIDO LOS CHOROS
EJIDO MESA DE SERI
EJIDO MINERO DE PILARES
EJIDO PLAN DE AYALA
EJIDO SAN BARTOLO
EJIDO ZAMORA
EL 33
EL ANTORCHA
EL APACHE
EL BUEY
EL CAPERUZO
EL CHAPARRAL
EL CHATARRAL
EL CHOYUDO
EL COLOSO
EL COLOSO ALTO
EL CONQUISTADOR
EL CORTIJO
EL CORTIJO PERIODISTA
EL CORTIJO UNISON
EL DORADO I
EL EJIDO LA YESCA
EL ENCANTO
EL ESPLENDOR
EL ESPLENDOR 2
EL JITO
EL LLANITO
EL LLANO
EL MALECÓN
EL MARIACHI
EL MEZQUITE
EL MIRADOR
EL NOGAL
EL PROGRESO
EL RANCHITO
EL REALENGO
EL RECODO
EL TAZAJAL
EL TORREON
EL TRIUNFITO
EL TRONCONAL
EMILIANO ZAPATA
EN LA INVASION 3 REYNAS
EN LAS PALMITAS
ENCINOS 2
EQUIPAMIENTO EDUCATIVO
ESMERALDA
ESMERALDA RESIDENCIAL
ESPERANZA
ESPLENDOR 3 ETAPA
ESPLENDOR TRES
ESTACION ZAMORA
ESTADIO NUEVO SONORA
ESTADIO SONORA
ESTANZA
ESTANZA FLORECIA
ESTANZA FLORENZA
ESTANZA SECCION TORREALBA
ESTAUS
EUSEBIO KINO
EUSEBIO KINO-ISSSTESON
EXT. COLOSIO
EXTENCION 4 DE MARZO
FEROCARRILERA
FERROCARRILERA
FIRENZE
FIRENZE RESIDENCIAL
FLAMINGOS
FLORENSA RESIDENCIAL
FLORESTA
"FLORESTA SECCION ""VILLA CIRUELOS"""
FLORESTA SECCION CIPRES
FLORESTA SECCION SAUCES
FLORESTA SECCION VILLA ALMENDRAS
FLORESTA VILLA ALMENDRAS
FLORESTA VILLA FRESNOS
FONAPO
FONHAPO
FOVISSSTE
FRAC. TOPACIO
FRACC HACIENDAS
FRACC SANTA CLARA
FRACC SEDONA
FRACC. CANTERAS
FRACC. CARDENO RESIDENCIAL
FRACC. DE LA CAPILLA
FRACC. ESTANZA FLORENZA
FRACC. LA CAÑADA
FRACC. PASEO DEL CID
FRACC. RETORNO DE LA MISION
FRACC. URBI VILLA DEL CEDRO
FRACC. URBIVILLA CAMPESTRE
FRACC. VILLAS ROMANZA
FRACC. VISTA REAL
FRACC.DALLAS RESIDENCIAL
FRACC.SANTA ANITA
FRACC: RIO DE PLATA
FRACCIONAMIENTO ALONDRAS
FRACCIONAMIENTO BONANZA
FRACCIONAMIENTO CASA REAL
FRACCIONAMIENTO COLINAS DEL VALLE
FRACCIONAMIENTO DE LAS VEREDAS
FRACCIONAMIENTO EMPERADOR
FRACCIONAMIENTO ESMERALDA
FRACCIONAMIENTO MIRAMONTES
FRACCIONAMIENTO PALMEIRA
FRACCIONAMIENTO VELAS
FRANCISCO E. KINO ISSSTESON
FRANCISCO ROMERO
FRANCISCO ROMERO (INVACION )
FRANCISCO VILLA
FRESNO RESIDENCIAL
FRESNOS ALAMEDA
FUENTE CIBELES
FUENTE DANZANTE
FUENTE DE PIEDRA
FUENTES DE MEZQUITAL
FUENTES DEL CENTENARIO
GABY PEREYRA
GALA
GALA 3
GALA II
GALA RESIDENCIAL
GENOVA RESIDENCIAL
GIRASOLES
GUAYACAN
H. AYUNTAMIENTO
HACIENDA DE LA FLOR
HACIENDA DEL SOL
HACIENDA EL ANGAR
HACIENDA LAS MINITAS
HACIENDA LAS PLACITAS
HACIENDA LOS ALCATRACES
HACIENDA LOS LIRIOS
HACIENDA LOS TESOROS
HACIENDA RESIDENCIAL
HACIENDA RESIDENCIAL CONDOMINAL
HACIENDA SAN MIGUEL
HACIENDAS
HACIENDAS CAMPESTRE
HACIENDAS DEL SUR
HACIENDAS LOS FRESNOS
HACIENDAS REAL DEL 14
HEBERTO CASTILLO
HECTOR FRANCISCO ROMERO
HERMOSA PROVINCIA
HERMOSILLO
HOYO DE BONILLAS
HUAREQUI
HUMBERTO GUTIERRES (LAS CUEVITAS)
HUMBERTO GUTIERREZ
INALAMBRICA
INAVSION LAS COSECHAS
INDECO CENTENARIO
INN. TRES REYNAS
INSURGENTES
INTERNACIONAL
INV 3 REYES
INV COYOACAN
INV LA COSECHA
INV. ADOLFO LOPEZ DE LA HUERTA
INV. MAQUENAS
INV. NUEVO HORIZONTE
INV. PLUTARCO ELIAS CALLE
INV. PROLONGACION RANCHITO
INV. TEPITO
INV. TRES REINAS
INVACION ANTORCHA
INVACION INSURGENTES 4 ETAPA
INVACION LOS LIRIOS O TEPITO
INVACION NUEVO SONORA
INVACION SAMUEL RIO VARELA
INVASION 3 REYES
INVASION 3 REYNAS III
INVASION ADOLFO DE LA HUERTA
INVASION ADOLFO LOPEZ MATEOS
INVASION ALCATRACES
INVASION ALTARES
INVASION ALTARES 3
INVASION COLOSIO
INVASION EL RANCHITO
INVASION GUAYACAN
INVASION LA ANTORCHA
INVASION LAS 3 REYNAS
INVASION LAS PEREDAS 2
INVASION LAS PEREDAS 3
INVASION MIGUEL VALENCIA
INVASION NUVA ILUSION
INVASION PLUTARCO ELIAS CALLES
INVASION REALENGO
INVASION SAN LUIS
INVASION VILLA BONITA
INVASIÓN EL CHAPARRAL
INVASIÓN EL MIRADOR
ISSSTE
ISSSTE FEDERAL
