COLONIA,LATITUD,LONGITUD,DIRECCION_FORMATEADA,TIPO_UBICACION,PLACE_ID,TIPOS,TIMESTAMP
BUENOS AIRES,29.119355,-111.0121365,"Buenos Aires, Hermosillo, Son., Mexico",APPROXIMATE,ChIJ44lxuUeBzoYRyhEtlKh-I38,"political, sublocality, sublocality_level_1",2025-11-05T17:37:19.655277
BUGAMBILIA,29.1156941,-110.9558794,"Bugambilia, 83140 Hermosillo, Son., Mexico",APPROXIMATE,ChIJM0egfoaGzoYRqUMg6i_xZCs,"political, sublocality, sublocality_level_1",2025-11-05T17:37:20.011708
BURGOS PITIC RESIDENCIAL,29.1323419,-110.9463439,"Burgos, 83146 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJy1I7JF6GzoYRGfmpuFUQMxI,route,2025-11-05T17:37:20.379805
CADIZ RESIDENCIAL,29.0792478,-111.0024077,"Cádiz, Casa Grande, 83246 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJKzlRwfSDzoYRc2T4vjhyyPE,route,2025-11-05T17:37:20.754954
CAFE COMBATE,29.0995441,-110.9179377,"Internacional A Nogales 4, Cafe Combate II, 83160 Hermosillo, Son., Mexico",ROOFTOP,ChIJg7ci3pmFzoYRsaaaKi46i2M,"cafe, establishment, food, point_of_interest, store",2025-11-05T17:37:21.115940
CAFE COMBATE II,29.1041957,-110.9156436,"Cafe Combate II, Hermosillo, Son., Mexico",APPROXIMATE,ChIJ51LLWuWFzoYRI9arBotzu-4,"political, sublocality, sublocality_level_1",2025-11-05T17:37:21.470963
CAFETALES,29.1505892,-111.0182212,"De los Cafetales, Villa del Real, 83318 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJKWYBX9yAzoYRwr639rLVjLg,route,2025-11-05T17:37:21.831383
CAJEME,27.4934041,-109.940064,"Cajeme, Sonora, Mexico",APPROXIMATE,ChIJwQ5tmvEVyIYRdaBl00jka60,"administrative_area_level_2, political",2025-11-05T17:37:22.192188
CALIFORNIA RESIDENCIAL,29.1232796,-111.055315,"California Residencial, 83177 Hermosillo, Son., Mexico",APPROXIMATE,ChIJ4TTdCaWBzoYRPcXscsJSMDs,"political, sublocality, sublocality_level_1",2025-11-05T17:37:22.569152
CALIFORNIA RESIDENCIAL CDA CORDOBA,29.1219782,-110.9570661,"Córdoba, 83100 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJYb5R0Y6GzoYRdWJ1QyJqGww,route,2025-11-05T17:37:22.983918
CALIFORNIA RESIDENCIAL CDA SARATOGA,29.1194108,-111.0630744,"Av. del Bardo, 83177 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJJ4SpXbmBzoYRt18dl0fqulQ,route,2025-11-05T17:37:23.392616
CALIFORNIA RESIDENCIAL SANTA ROSA,29.1417927,-110.9810257,"Sta Rosa, Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ1552wtuGzoYRRN81l0ZWvUs,route,2025-11-05T17:37:23.801213
CALIFORNIA RESIDENCIAL SECC MARQUEZ,29.0890866,-110.9708388,"Francisco Márquez, La Huerta, 83208 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ28JcKDyEzoYRaOjQqASk1-s,route,2025-11-05T17:37:24.205881
CALIFORNIA RESIDENCIAL SECC. SANTA MONICA,29.0577295,-111.0007759,"Sta. Mónica, Secc las Placitas, 83287 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJi8P7NoCDzoYRq857By1IHRA,route,2025-11-05T17:37:24.618275
CALIFORNIA RESIDENCIAL SECCION SANTA ROSA,29.1417927,-110.9810257,"Sta Rosa, Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ1552wtuGzoYRRN81l0ZWvUs,route,2025-11-05T17:37:24.978829
CALIFORNIA SECC. MEDITERRANEO,29.0832206,-111.0348749,"Villas del Mediterráneo, La Manga, 83320 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJZTTl-c-DzoYRuNkb4DMcUt8,route,2025-11-05T17:37:25.449441
CALIFORNIA SECC. SACRAMENTO,29.12058459999999,-110.9514087,"Sacramento, Hermosillo, Son., Mexico",APPROXIMATE,ChIJfSt-QoiGzoYRv2FmVeNWQKE,"political, sublocality, sublocality_level_1",2025-11-05T17:37:25.853009
