COLONIA_REPRESENTATIVA,NUM_VARIANTES,VARIANTES,FRECUENCIA_TOTAL
AMPLIACION 4 DE MARZO,2,AMPLIACIN 4 DE MARZO | AMPLIACION 4 DE MARZO,1274
UNIÓN DE COLONOS,2,UNION DE COLONOS | UNIÓN DE COLONOS,1263
VILLA RESIDENCIAL BONITA IX X XI Y XII,2,"VILLA RESIDENCIAL BONITA IX X XI Y XII | VILLA RESIDENCIAL BONITA IX,X,XI Y XII",1257
RINCÓN DE PALMAS,2,RINCON DE PALMAS | RINCÓN DE PALMAS,1201
SANTA BARBARA,2,SANTA BARBARA | SANTA BÁRBARA,1162
SOLIDARIDAD IV ETAPA,2,SOLIDARIDAD IV ETAPA | SOLIDARIDAD V ETAPA,1151
VILLA DE PARRAS,2,VILLA DE PARRAS | VILLAS DE PARRAS,1146
REAL DEL COBRE,2,REAL DE COBRE | REAL DEL COBRE,1142
BAHÍA DE KINO,3,BAHIA DE KINO | BAHIA DE KINO. | BAHÍA DE KINO,1071
RANCHO BONITO,2,RANCHO BONIT | RANCHO BONITO,1035
RINCON DEL MARQUEZ,3,RINCON DE MARQUEZ | RINCON DEL MARQUEZ | RINCÓN DEL MARQUEZ,963
SAN ISIDRO,2,SAN ISIDRO | SAN ISISDRO,883
ARANDANOS RESIDENCIAL,2,ARANDANOS RESIDENCIAL | ARANDAS RESIDENCIAL,830
PRIVADAS DEL SAUCE,2,PRIVADA DE SAUCE | PRIVADAS DEL SAUCE,821
REAL DEL CARMEN,2,RAL DEL CARMEN | REAL DEL CARMEN,809
VILLA DE SERIS NORTE,2,VILLA DE SERIS NORTE | VILLA DEL SERI NORTE,792
PARQUE CENTRAL,2,PAQUE CENTRAL | PARQUE CENTRAL,784
VALLE DEL LAGO,2,VALLE DE LAGO | VALLE DEL LAGO,758
OBISPO RESIDENCIAL,2,OBISPO RESIDENCIAL | OBISPOS RESIDENCIAL,757
RACQUET CLUB II SECC NORTE,2,"RACQUET CLUB II SECC NORTE | RACQUET CLUB II, SECC. NORTE",745
MISIÓN DEL ARCO,2,MISION DEL ARCO | MISIÓN DEL ARCO,733
LAS LOMAS SECCION LOS MANZANOS,2,LAS LOMAS SECC LOS MANZANOS | LAS LOMAS SECCION LOS MANZANOS,724
SAN ANDRÉS RESIDENCIAL,2,SAN ANDRES RESIDENCIAL | SAN ANDRÉS RESIDENCIAL,701
LA LENGÜETA,2,LA LENGUETA | LA LENGÜETA,663
LOS SANTOS RESIDENCIAL,2,LOS ALTOS RESIDENCIAL | LOS SANTOS RESIDENCIAL,663
REAL DE SEVILLA,2,REAL DE SEVILLA | REAL SE SEVILLA,655
PUEBLITOS CDA. KIKAPU,2,PUEBLITOS CDA. KIKAPU | PUEBLITOS CDA. KUKAPU,652
LA CAMPINA III IV Y V ETAPAS,2,LA CAMPINA III IV Y V ETAPAS | LA CAMPIÑA III IV Y V ETAPAS,642
CRUZ GÁLVEZ,2,CRUZ GALVEZ | CRUZ GÁLVEZ,641
LA CAMPIÑA,2,LA CAMPINA | LA CAMPIÑA,619
AMPLIACION LOS OLIVOS,2,AMPLIACION LOS OLIVOS | AMPLIACIÓN LOS OLIVOS,614
CERRADA DIAMANTES,2,CERRADA DIAMANTE | CERRADA DIAMANTES,547
VILLA SURENA,2,VILLA SURENA | VILLA SUREÑA,534
ROSARIO I. DE PIEDRA,2,ROSARIO I DE PIEDRA | ROSARIO I. DE PIEDRA,526
SAN SEBASTIÁN,2,SAN SEBASTIAN | SAN SEBASTIÁN,459
MODELO SUR RETORNOS,2,"MODELO SUR RETORNOS | MODELO SUR, RETORNOS",458
PUEBLO DE ORO,2,PUEBLO DE ORO | PUEBLO DEL ORO,416
RESIDENCIAL PEÑASCO,3,PRESIDENCIAL PENASCO | RESEIDENCIAL PENASCO | RESIDENCIAL PEÑASCO,403
HACIENDA RESIDENCIAL,2,HACIENDA RESIDENCIAL | HACIENDAS RESIDENCIAL,373
LAS LOMAS SECC CASTANOS,2,LAS LOMAS SECC CASTANOS | LAS LOMAS SECC CASTAÑOS,343
LAS PEREDAS,2,LAS PEREDAS | LAS PÉREDAS,331
MISIÓN SAN JERÓNIMO,2,MISION SAN JERONIMO | MISIÓN SAN JERÓNIMO,313
TIERRA BLANCA,2,TERRA BLANCA | TIERRA BLANCA,303
